comment,score,id_hotel
"We spent 2 nights at the Hotel Taselotzin, one of our best experiences in Mexico. The hotel is located a 15-minute walk from the centre of Cuetzalan along very steep roads. Our rooms were simple but attractively decorated. The restaurant serves excellent and very reasonably-priced breakfasts and authentic local dinners. There's a shop selling hand-embroidered items, soaps and other products made by members of the cooperative that runs the hotel – almost a better choice that's available at the Sunday market, plus you can be secure in the knowledge that the items that you're buying really are locally produced and that the profits really go to the producers. Almost all the staff were extremely friendly and helpful.",50,6
"For the money, Mexico has more to offer than any of the many countries I have been fortunate enough to behold. Cuetzalan is absolutely amazing.  It is a trip back in time, complete with cobblestone streets, quaint architecture, an amazing market, and a mountain vibe.  The Hotel Taselotzin is operated by an indigenous women's cooperative.  They offer many articles for sale which they make themselves, including clothing, woven baskets, herbal tinctures, soaps and salves, and more.  The rooms are CLEAN, clean clean.  The embroidered sheets feel like linen.  The towels are so nice.  It was cold when we were there and I had many blankets, so was nice and comfortable.  Wi fi works well in the lobby area. You can expect hot water in the shower.  On top of all that, the service is",50,6
" genuine, friendly, and professional.  They have a small restaurant there, where we took several meals; they were all authentic and served on native-made pottery.  These people and this place contributed immensely to my enjoyment of Cuetzalan.  Beware that it is extremely hilly and steep there, and this hotel is near the top.  We arrived at night and it was pitch dark, so I had no idea what to expect.  My apprehension was abated immediately once I saw the cute lobby and nice, comfortable room.  I felt completely safe there as well.",30,6
…,50,6
"We loved Cuetzalan. The Sunday market is not to be missed. The street food during  the market was excellent. This is a small mountain town, so don’t expect a thriving night life. All the restaurants we visited, we enjoyed. Luna Azul isuare a very good one. The streets are stone and are steep. If you have any mobility issues this may not be the place for you. We wanted to do some off the grid hiking. We went to the tourist office in the square near the church and they called an English speaking guide. The guides name is Jamie Juarez his personal number is 0012331264614. He gave us an excellent off the grid hike. He also offers many other hikes as well. His English is very good and could be a big help in a town that pretty much speaks only Spanish. 3 days was enough in this town,",50,6
" if you visit start on a Sunday when the market is happening. The hotel was ok, but in top a hill.",50,6
…,50,6
"Rooms are clean. Staff are professional. It's a 15-minute walk to the downtown area. Also, they arrange for all sorts of activities around the area like horseback-riding, rappelling, and four-wheeling to waterfalls.",40,6
"This is a beautiful, while simple hotel.  The staff, who belong to an indigenous women's cooperative (great cause), are wonderful people who aim to please. Although the guest rooms do not have TVs, they usually have WiFi (unless you're there during a storm), and they offer a Temaxcal (sweat lodge) and sell handmade clothing and herbal medicines.  They have a restaurant on the premises, as well as a small bar.  They will also arrange for you to go on tours of the local area, including visits to the pyramids, waterfalls, etc. It is a beautiful, relaxing place, which I highly recommend.",50,6
"I really enjoyed my stay here. The rooms were nothing fancy but the beds were comfortable with lots of warm blankets. The shower didn't have tons of water pressure but it was relatively hot. We enjoyed the massages we got and also the meals we had in the restaurant (especially breakfast and the delicious coffee). Although it's a little bit of a hike up and down to the centro (you can also take a combi), it's worth it to be in this peaceful hotel. We did a tour with nearby Descubre Cuetzalan that was also lots of fun.",50,6
"I’ve been fortunate enough to stay in some pretty nice hotels during our 1 month stay in Mexico, but the bed at this hotel would have to be the best so far - so much so, that it would take me a lot of effort to get out of it.  The staff at this hotel are AMAZING - the best service so far that we have received at any hotel! Special mention to Javier who always asked how we were going and if we needed anything, and to Elias who was so extremely helpful with EVERYTHING and always recommending great restaurants for us to go to, Yris and Angel were also super helpful with anything we asked for! The shower pressure is also really good. And the location is really good too - only a 5 mins walk to the main square.  When booking however ask for a room with a view without the tree. Whilst",50,7
" all the rooms are ocean facing, ours had a big tree blocking the ocean view.",50,7
…,50,7
"Ysuri hotel has a great location in Sayulita, just across the street from the beach and the views are incredible. The rooms are very comfortable, with large spaces and a kitchenette.  Everyone here at the hotel is super kind and helpful making sure our time is well spent!!",50,7
This is a wonderful hotel with excellent service and absolutely the perfect location in town. Beach front and around the corner from the village. Quite at night but walk anywhere. Clean as a 5 star hotel should be and the bed is soft view is amazing.,30,7
"The hotel and staff are incredible. So many amenities and everyone works so hard to make sure you are well taken care of. The hotel is in a perfect location, a short walk from the hustle and bustle of the plaza but quiet and feels secluded. The pool and cafe are fantastic and the recent addition of the beach bar is great. 10 out of 10 would recommend to anyone.",50,7
"Booked a garden room, thinking I would have a nice view. Instead my only window was what looked like construction. I was very disappointed in my view. Tried to get in contact with the manager regarding this. Every day I was told he would call me to make accommodations, yet he never did. Upon checking out, I expressed my dissappointment  that manager never called. Was told he would contact me that day or the next. Still never called. It would be nice if manager would put a little more effort into customer satisfaction. And if you book a garden room, expect to have this view, as I was told that this is their standard view.",30,7
"This Hotel took care of all of our needs Covid tests, travel arrangements and events. The hotel rooms are gorgeous, the service impeccable and they did everything to make our stay enjoyable, comfortable and carefree. We would definitely stay here again Eli is a perfect concierge and Angel all of the staff were perfect.",50,7
We were in town for a wedding. We booked online and the room summary said we would have a garden view. Garden view was misleading to say the least. Service overall was good and the property is nice but see the picture attached,50,7
"The hotel it's cute, clean the views are out of this world. We would like to thank the staff: Daniel from the snack bar, and Geovanny, from beach front restaurant. Excellent customer service. The check in was super fast and easy ( thank you Iris) We would definitely recommend this hotel who wants to visit Sayulita!!!",50,7
The location is fantastic with breathtaking views over the ocean. The hotel is also walking distance from many restaurants and bars. Our room was a delight. We had plenty of privacy and enjoyed several breakfasts taking in the majestic view from our balcony. Salomon is a superb host. I would highly recommend a visit to anyone!,50,8
"Zoa is a magical place perched atop a beautifully landscaped hillside with unobstructed ocean views &  big open skies. It's a serene spot for whale watching, stargazing, and decompressing. The hotel is secluded yet within walking distance to the beach towns of Mazunte and San Agustinillo.  This is the 2nd time my husband and I have stayed at Zoa in #5. We love the privacy and the surrounding gardens. Our room was always tidy with a fully stocked mini-bar and mezcal. When we weren't commandeering the poolside couches, we lounged on our private terrace enjoying the daily bird activity, sunsets, and distant sounds of music and laughter.  The heated infinity pool is beautiful and there are several different levels where you can relax in a hammock or next to the ocean on some",50,8
" loungers.   Solomon, Paco, chef de cuisine, and everyone at Zoa are what make Zoa truly special and keep us returning. Their hospitality, attentiveness, and easy-going nature add to the chill factor, which is precisely what I crave when escaping daily life. The food at Zoa is some of the best on the Oaxacan coast. And when we wanted to eat elsewhere, Solomon recommended several great restaurants.",50,8
…,50,8
"Stunning hotel, with a beautiful pool set in landscaped gardens on a cliff overlooking the Pacific Ocean. It’s very well-located, in between two of the nicest beaches in this part of Oaxaca - Mazunte and San Agustinillo. Both are easily walkable (or swimmable, from the tiny little beach at the bottom of the hotel). The hotel is intimate with only a few bedrooms, which are large with beautiful views. The food and service were excellent, and the hotel is well-managed. We would definitely stay here again.",20,8
"Staying at Zoa hotel was a wonderful experience. The rooms have incredible views, the food amazing but it was really about the feeling you get while you are there. It’s hard to describe….They have created a magical space. The manager,Salomon,  and his staff are really incredible. You want for absolutely nothing! You are totally pampered and with only 7 casita’s, you feel like you are at your own private resort. We can’t say enough good things! Thank you to the entire staff for making our holiday so lovely!",50,8
"NO beach access!! Room full of ants. Filthy swimming pool. Our room flooded.  The AC which is above the bed leaks so you are woken up by drops of water on your head… No pressure in the cold water in the shower. The fan in the room was inverted. The air got pulled up instead of blowing air in the room. Sadly, the manager Samuel never made an attempt to apologize or mend anything ( but the leak in the room) I must say that the food and employees are amazing!!",50,8
"If your like me and crave a slice of heaven when you travel for leisure then welcome to Zoa!   Beautiful property....amazing ATTENTIVE service and great food!   Our villa was cabana 1 and we love it ( we are still here debating the date of our next visit here.)  I actually live in Puerto Vallarta and I love living there so when I travel it must be exceptional and this has ticked all the boxes for me.  Zero complaints!   I love the layout. I love the thoughtful spaces located all throughout the property. I actually like that the beach is next to the property as it encourages you to see the area a bit. Not to mention, the nearby beach is gorgeous. No T.V which is a plus for me. However good WiFi is a plus for work. I am a writer- and geology lover amongst other things and to sit",50,8
" by the sea and hear the conversation of the waves while doing a bit of work is just incredible.   Come here solo or with a partner and just enjoy the views, the peace and the overall positivity that pours from the heart of the people here.   I’m definitely returning!",50,8
…,50,8
"I had the pleasure of staying here over NYE.  It is located just a half-block off of Hidalgo, the pedestrian walkway through Centro on Calle Abasolo.    The rooms are all kept Immaculately clean with daily maid service.  The towels, while slightly worn, were nice and soft (obviously they use fabric softener in their wash).    The rooms each have a safe ($10 key deposit) and flat screen TV with a few English channels.  Ceiling fans and standing fans are the norm, although a/c is available for an extra $200 Mxn pesos daily (definitely needed during the warmer months, 10 USD per day).    Toilet paper is to be thrown into the bathroom trashcan, as is the norm throughout Latin America.  Plenty of hot water all day and night, but occasionally did have to let it run to get up to the",50,9
" 3rd floor for a minute or two.  Small hotel bar soap and shampoo provided daily.   The music /noise from Hidalgo is certainly noticable, but was shut down by 10.30pm each night.  Complimentary coffee on the ground floor each morning.      Excellent location smack dab in the middle of el Centro Isla.  I would absolutely stay here again regardless of the time of year.  ",50,9
…,40,9
We stayed here for 2 weeks and loved it! Super clean room with air conditioning and a fridge. Located right off Hidalgo the location was perfect. For the price you just can't get better! And the staff was amazing ,30,9
"This is the second time I’ve stayed here. Safe, clean and very helpful and friendly staff. It’s basic and the price can’t be beat. If you’re looking for luxury or perfection, book somewhere else. Be sure to get a room with a/c. Can’t imagine not having it! Walking distance to coffee, great food, shopping and the 3rd floor offers a view of the ocean. I’ll be back",10,9
"We stayed here for 4 days in October and feel so so about the place.   Pros:   -Clean -Maids did a good job -AC works extremely well -Firm beds which we like -They have a safe that you can use (with refundable $20 deposit)  Cons:  -Extremely noisy in the morning (maids are watching loud soap operas or something? Woke us up at 6:30-7 every morning) -Staff was loud in the morning and we could hear their convo on the first floor (literally shouting in front of our door) -Nonexistant wifi (it hardly worked the whole time we were there) -Had to ask for blanket (they only give you a sheet to sleep with) -Staff didn’t do a good job to get us oriented, a little pamphlet on how to turn on AC (you insert a key thing), get a safe (you have to ask them to give u the key), etc would have",50,9
" been helpful.  Overall, mostly because of lack of WiFi and sleep due to noisy staff I wouldn’t book this place again. We were almost eager to get to our next location so we could finally get some sleep.",50,9
…,40,9
"Wow, no one seemed to mentioned that this place does not have AC. It is literally a simple dorm room plus fan. To say that it is budget is generous. It is clean. We had to stay in a different place and the hotel would not issue a refund.",40,9
"had nice week at this hotel...daily cleaning of room, great location to shopping and waterfront...queen bed, a/c wifi...not a lot except for a room...but put chair out outside and watched world go by....nice staff...will be back....plus one night free if you pay by us dollars for week....",40,9
"We loved this spot for the amenities and close to all downtown. Close to bus route, bank and ferry. Maid service was fantastic and clean. We felt very safe! Our only issue we experienced was the bed! It was so soft we rolled into each other each night and woke up with sore backs. Otherwise a awesome spot to stay!! Just get a new mattress",50,10
"Arrived here and the room was adequate. Nothing luxury but big and clean. The views from the patio/balcony where over the top. First night we couldn't get the TV to connect to Netflix. After hours of trying we decided to take a bath and go to bed. Oh no! No hot water. It's late by this time so cold shower it is for me. We contact the owner who sends someone out to help. By midnight, we had hot water. The next day, we find out we didn't have the remote to make the Netflix work and after that no problems. There is a family next door with a dog who liked to play football at all hours of the night but I found it cute and enjoyable but maybe annoying if you wanted to rest. The room is in walking distance of many things but on a back street so it feels secluded. I would return but the",30,10
 tv was so small (40inch) and the bed was unbearably uncomfortable but that view may draw me back in!,50,10
…,40,10
"We traveled in early November 2020, just after several hurricanes had come through and while a tropical storm was making a close pass to the island. We had booked just after Mexico went from COVID Orange (beaches closed) to COVID Yellow (beaches open with social distancing and masks required) so between the storm and COVID, it was an unusual visit. We stayed 9 days and of those, 5 were spent primarily in our room due to rain and wind. So glad we booked with Villa Elena! We had previously communicated with the manager Wilbert via WhatsApp and he picked us up in the property golf cart at the ferry. While the property is very much walking distance to the ferry, with our heavy luggage, the ride was much appreciated. We checked into Suite 4 and everything was as beautiful as it was",50,10
" in the pictures. HUGE room (~600 sqft), modern updated decor, expansive windows overlooking the Caribbean, complete privacy unless there happened to be a boat parked on the Caribbean (unlikely), gorgeous patio with a table and chairs. In the lobby, filtered water is provided for guests which is much appreciated. In the room, a large drip coffee maker, a room sized refrigerator, various dishes and a small hot plate if you want to cook, an extremely comfortable bed, a fun and unusual shower, again overlooking the Caribbean, a sitting area with a foldout couch and two chairs, and plenty of room to spread out luggage without it being in the way. The room also had a Roku TV with Netflix which was a lifesaver for the rainy days and nights that we encountered on this visit. When we went out, Centro/Hildalgo Street was a quick 10 minute walk. We walked both on the street in front of the hotel and on the Malecón next to the ocean and both were accessible and safe. There is a fabulous restaurant (La Lolita) serving authentic Mexican food and drinks less than a block away, and a Farmacia and grocery about three blocks away for stocking up on provisions. All in all, easy to get to everything you needed without being right in the middle of downtown. I can’t say enough wonderful things about the staff, Wilbert and Elisa (the housekeeper). Wilbert was EXTREMELY responsive when we had any sort of issues (odd little things are common anywhere you stay in Mexico) and even gave us a headsup when he was entertaining clients (loud music and tequila! LOL) across the hall in Suite 3. Although we couldn’t hear them, it was amazing that he even thought to notify us. Elisa found an earring that I had lost. They went above and beyond and we could not have been happier with the service. A couple of notes about the room that might be deterrents for other travelers. There are no black out drapes and the room faces east. It didnt bother us but if you are looking for a dark room, this isn’t it. The Caribbean ocean is literally right outside the windows and as such, you hear waves crashing on the shore. I find that infinitely relaxing but again, if you want complete quiet, this is not the place for you. While the room overlooks the Caribbean, there is no “beach” accesible from here—the Caribbean is too rough to swim in. The bathroom situation is “open plan”—that is the shower is open to part of the room and overlooks the ocean, and the toilet has a curtain but no door. Again, this wasn’t an issue for us but might be for others. If I wanted to pick nits, I would LOVE to have lounger chairs on the patio for sunning. I know they are included with Suite 5 and there is plenty of room on the balcony/patio in Suite 4. I made it work but loungers would be great. Otherwise LOVE LOVE LOVE. We will be back!",40,10
…,50,10
"Small 5 suite building located off main drag 10-15 minute walk from downtown,restaurants,groceries,beach. Access to beautiful oceanview malecon walk behind suites. Housekeeping is SUPER efficient. Excellent views from rooftop patio. Suite is well equipped for light cooking.(brought my own frying pan and a good knife) Got used to taking cool showers even though I was shown where to turn on breaker for hot water. Building has no outside guest policy which I'm quite sure was sometimes breached by the night owl neighbor in suite 4. Can't be enforced if no owners present. Owners should also be advising guests that there is a small private room that seems to be rented out 1-2 times a week. Surprise! until I asked housekeeping. Otherwise felt safe and secure since front door is double",50,10
 locked at all times. All in all a good place to stay.,50,10
…,50,10
"I am sorry to say we were very disappointed with our stay. The pictures showed a room set up which was very different, as we were on the split level floor which was extremely small. There was no shower water (only drips), it was quite far on a main road which then backed onto the sea (ie. your sea view is a road first) and management pictures showed the more premium larger rooms only for the booking we made. The bed was not king size as advertised, it was actually a large single bed and we will not be visiting again as it was expensive for what it is.   It was the most expensive hotel of our 2 week trip across Mexico, and by far the worst. I only felt clean once I reached Tulum and had a proper shower with actual water flow.   I would recommend staying near Playa Norte as those",10,11
" hotels were similar priced, but with the associated facilities, location and beach view.",50,11
…,50,11
"We had a lovely stay! Recommend the bigger rooms on one level as opposed to the smaller one with two levels, as we stayed in both. Both are great but the bigger room is the most incredible and also has a balcony with seating and a hammock. Beautifully decorated and clean with an ocean view. The staff are so sweet, lovely and helpful. Highly recommended.",50,11
"Absolutely  amazing customer service and support!!  I'm horrible  with names however the ladies too so good care of me!! I dint want to believe the photos on the site but it's truly that beautiful!  I felt safe and secure,  I could walk into town or take a 5.900 us taxi.  The breakfast  was amazing! I will return again this year without a doubt",10,11
"This is a beautiful place to stay! Fantastic service, clean and comfortable.  Nice modern decor and great rooftop deck and small pool. (Rooftop is best in the evenings. This isn’t an island to waste your time at a pool, the beach is where you want to be!!)The complimentary breakfast brought to your room was also fantastic.  The hotel is located mid island, so be sure to rent a golf cart so you can make the easy, short drive to North Beach, Restaurants and shopping on Hildago Street or around the island to tour and have fun. (BTW you should plan on having a golf cart anyway in Isla. You are completely missing out if you don’t drive around and see what the island has to offer) those that complained about the location obviously didn’t do their research and don’t know the island!!!",10,11
 We’ve been more times to Isla then we can count and enjoyed the location and would highly recommend! ,50,11
…,10,11
"(Long but very informative review - there's a tldr at the bottom). At a time that is difficult enough for hotels and travellers, Icaco has decided it will not only refuse to refund our booking (they offered half of the booking as a credit voucher for use in 2021) but that they will be horrifically rude and unhelpful while doing so. I know what they're going to say, ""it was a non-refundable booking, we offered a voucher"" blah blah blah.  1. I had booked another non-refundable hotel in Cancun, guess what? They closed down until Oct 31 due to public health fears and refunded my money in one week, so don't hide behind a policy written before COVID-19.  2. What are we supposed to do with a 2021 voucher when so much is still up in the air? Will you still be in business? Will there be",50,11
" a second wave or a vaccine then etc?  Now, I can handle hotels saying ""really sorry it's not refundable, it's a difficult time for us but we can offer a voucher"". I'd understand that. It's unprecedented times.  What they did was, after I had cancelled the booking and did not give back $85 in taxes already paid ($535 already paid, with $450 cancellation fee, and another $450 due to be paid at a later date), proceed to be condescending, extremely rude and importantly, then withdraw their previously agreed offer of the voucher in exchange for the $85 back (I've included screenshots as proof).  We didn't ask them to do that, they decided of their own free will to essentially punish us. Ask yourself, should hotels be punishing their guests? Let's imagine what their response will be to this - ""The $85 was for taxes, the mexican govt has already taken it"" So the tax year has ended already? If I return a shirt, I get back taxes on that, don't I? Does that mean if I booked a refundable room, I still wouldn't get taxes back, cause the Mexican Government has it?  But, once again, if they had behaved reasonably and said ""I'm really sorry, there's really nothing we can do"" we could have negotiated amicably. Instead they decided to be petulant, which is bold for a hotel during a pandemic, I'll say that much. Well, that's my review. Hope you enjoyed.",50,11
"The staff was replying to my questions in a timely manner. The Booking was easy and the hostel is pretty close to the Ferry station when you come over from Cancun. Although, it was a bit difficult finding them at first glance because you have to walk up the stairs from the main street, so do not get stressed not finding them first- you will! :) (I could not see the entrance on Google as the main entrance is just between 2 streets not recognized by Google map) Check it was okay, paid upon arrival and I was shown to my dormitory. Expect to leave a 100 pesos deposit for any loss or damage. My dormitory was without AC, but I was okay since I get sick from AC disregarding the humidity.   - I was staying in a bed above and there was no curtain. That was one of my pain points since I",40,12
" do stay in hostels quite often and that is something important for me. - There was no separate locker but we could place our bags underneath the bed. Take your own locker to close your stuff because there is a hook on your locker door.   - My linen was clean and the separate shared dormitory bathroom was acceptable, although the bathtub was clocked a few times and ended up standing in the water.  - We had a small terrace area as well to hang our towels out. -Internet speed is fine, I could do my work well.  -Breakfast: Toast, Eggs, Fruits, Jam, Butter, Coffee (Usual stuff in Mexican hostels for a breakfast) - If you do drink your coffee with milk, get one from a grocery store because sometimes they do not have milk (The coffee is pretty weak anyway) - Common areas were cleaned. You can smoke there. Plugs can be found next to your bed and in the common areas as well next to the tables. - I did not use the swimming pool although they have one.  My absolute fav was the rooftop, where you can drink at the evening. Also great place for early birds to do your yoga or just sit and watch the sunrise from one side or look at the other side where you have a great view of Cancun.  I stayed a few nights and the hostel itself was a cool experience. No one wears masks but you are outside/open air in the common areas anyways. Not really sure how to rate the service because I get what I paid for.",20,12
…,50,12
The cleaning is not good and looks old.  They don´t clean in a right and deep way in the ensuite bathroom.  The staff and location is really nice but without if the hostel is not clean what´s the point.,50,12
"Great stay at Balu, walking distance to eateries and Norte Beach and supermarket , friendly staff, facilities were  clean, good breakfast and enjoyed my stay here, would recommend to those staying on island ",50,12
"I really enjoyed my stay at Balu with no drawbacks.   Staff was courteous, knowledgable and helpful.   The breakfast was good. Included eggs, toast, coffee and delicious fresh fruit.  Superb view from the terrace.  Very nice rooms.",50,12
